Product Attribute,Grouping,Attribute Level,Bundle Attribute,Notes,,Mutable,Values,,Definition,SKU versus Product,User vs. System,Notes,Product Group Attribute,Example - Sub ONL,Example - TB Ads,Level,,,,,,,,,,,,,,Product Group,Individual Product
LinkedIn Product ID,Identifier,Product,Product,System generated,,No,,,,,System generated,Product level,No,5095295,,Product Level,,,,,,,,,,,,,,,
Is Bundle,,Product,Product,,,,"Yes
No",,,,,Product Level,No,,,,,,,,,,,,,,,,,,
Tax class,,"Product, SKU","Product, SKU",There is a slight chance that mobile for the same product will have a different tax family.,,No,SUBDIGBNDL,,,Product,User input,,No,,,Product Group,,,,,,,,,,,,,,,
Payment failure: Free to paid grace period,Payment,"Product, SKU","Product, SKU",,,Yes,,,,,User input,SKU level,No,0-days,,SKU,DEPEND-68015,,,,,,,,,,,,,,
Payment failure: Paid to paid grace period,Payment,"Product, SKU","Product, SKU",,,Yes,,,,,User input,Product Level,No,30-days,,Product Level,,,,,,,,,,,,,,,
Seat Min,,"Product, SKU","Product, SKU",,,No,1,,,,User input,Product Level Attribute,No,1,,Product Level,,,,,,,,,,,,,,,
Seat Max,,"Product, SKU","Product, SKU",,,No,n,,,,User input,Product Level Attribute,No,1,,Product Level,,,,,,,,,,,,,,,
Digital Goods,,"Product, SKU","Product, SKU",,,Yes,,,,,User input,Difference between free LinkedIn and Premium LinkedIn accounts | LinkedIn Help,No,"InMail credits: 15
Top choice job",,Product Level,,,,,,,,,,,,,,,
Sales Channel,,SKU,SKU,Sales Navigator Advanced sells both Online and Field. Ideally it would be 1 product and 2 SKUs. ,,Yes,"Online self-serve purchase
Field - sales assisted deals
Self-serve Invoicing",,,,User input,,No,Online,,SKU level,,,,,,,,,,,,,,,
Revenue Recognition,,SKU,SKU,,,No,"Accrual method: Ratably over subscription period
On invoicing
Metered: On receipt (payment received)",,,,User input,,No,Accrual method,,Product Group,,,,,,,,,,,,,,,
Switcher Logic,,SKU,SKU,Rules,,Yes,"Can upgrade to [Product ID]
can downgrade to [Product ID]",,,,User input,,No,,,Product ??,,,,,,,,,,,,,,,
Refund,,SKU,SKU,Rules,,No,"Yes - discretionary through CSP
Yes - tax only
Yes - automated (robo-refund)
No - discretionary makegood credits toward next invoice",,,,User input,Product Level Attribute as Refund policy vary across platform,No,"Yes - discretionary through CSP
Yes - automated (robo-refund)",,Product Level,,,,,,,,,,,,,,,
Mobile SKU Name,,SKU,SKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billing Frequency,Billing,SKU,SKU,,,Yes,x months,,,,User input,,No,"1 Month (Monthly)
3 Months (Quarterly)
12 Months (Annual)",,SKU, DEPEND-67999,,,,,,,,,,,,,,
Product Folder ID,Identifier,System,System,,,No,,,A product can only be in one group. A product in the group will inherit all attributes of the group.,,System generated,,No,0000001,,,,,,,,,,,,,,,,,
Sale Top of Funnel,,Tag,Tag,,,Yes,"Premium chooser
Solution Builder
Admin Center
URL - CTA from Company Page",,,,User input,,No,Premium chooser,,SKU level,tag,,,,,,,,,,,,,,
Product Type,,Product,Product,,,No,"Consumable (InMail, Host events)
Subscription
Supply limited usage
Bundle - Mixed",,,,User input,,No,Subscription,,Product,,,,,,,,,,,,,,,
Billing Model,Billing,Tag,Tag,Similar to Product Type,,No,"Usage 
Subscription
Mixed
Per-user or per-seat billing
One-time purchase",,,,User input,Dervied from Sales Channel + Type? ,No,Subscription,,Product Group,,,,,,,,,,,,,,,
Line of Business,,Tag,Tag,,,No,"LMS
LTS
LSS
Premium",,,,User input,,No,Premium,,Product Group,,,,,,,,,,,,,,,
Customer Type,,Tag,Tag,,,No,"Individual member 
Enterprise customer",,,,User input,,No,Individual member,,Product Group,,,,,,,,,,,,,,,
Contract Type,,Tag,Tag,,,No,"Time bound (fixed start and end date)
Evergreen (active until cancelled) ",,,,User input,,No,Evergreen,,Product Group,,,,,,,,,,,,,,,
Sales Platform,,Tag,Tag,,,No,"Web - Checkout 
Web - Solution Builder
Mobile - iOS
Mobile - GPB",,,,User input,Product Level Attribute,No,Web - Checkout,,Product Level,,,,,,,,,,,,,,,
Selling Entity Derivation,Billing,Product,Product,,,No,Selling Entity is derived from SoldTo country,,,,System generated,Specific to order,Yes,Selling Entity is derived from SoldTo,,Rule,,,,,,,,,,,,,,,
Service cancelled email,Email,Product,SKU,,,Yes,,,,,User input,,Yes,Yes,,,,,,,,,,,,,,,,,
Returning buyer offer,Offer,,,,,Yes,,,,,User input,,Yes,7-days free trial,,,,,,,,,,,,,,,,,
Restore purchase - undo cancellation,Email,Product,SKU,,,Yes,,,,,User input,,Yes,Yes,,,,,,,,,,,,,,,,,
Offer expiration email ,Email,Product,SKU,,,Yes,,,,,User input,,Yes,Yes,,,,,,,,,,,,,,,,,
Free trial reminder email - Reminds members on a free trial that they will be charged in 7 days ,Email,Product,SKU,,,Yes," ""trialExpiryReminderConfig"": {
  ""sendTrialExpiryReminderEmail"": true,
  ""reminderOffsetDays"": 7",,,,User input,,Yes,Yes,,,,,,,,,,,,,,,,,
First time buyer offer,Offer,,,,,Yes,,,,,User input,,Yes,7-days free trial,,,,,,,,,,,,,,,,,
Failed payment email,Email,Product,SKU,,,Yes,,,,,User input,,Yes,Yes,,,,,,,,,,,,,,,,,
Cancellation offer,Offer,,,,,Yes,,,,,User input,,Yes,10% off 3 months,,,,,,,,,,,,,,,,,
Cancellation confirmation email,Email,Product,SKU,,,Yes,,,,,User input,,Yes,Yes,,,,,,,,,,,,,,,,,
Abandonment offer,Offer,,,,,Yes,,,,,User input,,Yes,7-days free trial,,,,,,,,,,,,,,,,,
Reminder: Failed payment email,Email,Product,SKU,,,Yes," ""paymentErrorsHandlingConfig"": {
  ""softError"": {
   ""reminderOffsetDays"": 30,
   ""sendReminderEmail"": true
  },
  ""hardError"": {
   ""retryInterval"": ""1h"",
   ""maxErrorCount"": 5,
   ""treatLastErrorAsSoftError"": true",,,,User input,SKU level as valid only for Desktop & Field,No,Yes,,SKU,,,,,,,,,,,,,,,
Post sign-up email ,Email,Product,SKU,,,Yes,,,,,User input,,No,Yes,,Product Group Level,,,,,,,,,,,,,,,
Annual subscription renewal reminder email,Email,Product,SKU,,,Yes,"""renewalReminderConfig"": {
  ""SUBS_ANNUAL_RENEWAL"": {
   ""reminderOffsetDays"": 30,
   ""sendRenewalReminderEmail"": true",,,,User input,SKU level as valid only for Desktop & Field,No,Yes,,SKU,,,,,,,,,,,,,,,
Change Admin Email Notice,Email,,,,,,"""sendChangeBillingInfoEmail"": true",,,,,,No,,,Product Group,,,,,,,,,,,,,,,
isPrimary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
